,Apk,Result,Time,Mem(GB),Heuristic,#Snapshots,Mode,#Sources,#Sinks,#classes,#methods,#cg_edges,#flows,#additional flows,#missing flows,#TP,#FP,#TN,#FN,#unknown
163,com.bitstrips.imoji,Exit status: 0,2:38,17.052814483642578,action_all,27/27,sf,2,6,8546,53291,5953,7,3,2,1,5,0,0,1
164,com.bitstrips.imoji,Exit status: 0,6:51,8.648189544677734,action_all,27/27,i,1,1,8546,53291,4620,1,0,5,1,0,2,0,0
165,com.google.android.googlequicksearchbox,No snapshots found,0,0.0,none,0,full static,0,0,0,0,0,0,0,0,0,0,0,0,0
166,sg.bigo.live,No snapshots found,0,0.0,none,0,full static,0,0,0,0,0,0,0,0,0,0,0,0,0
167,com.dropbox.android,No snapshots found,0,0.0,none,0,full static,0,0,0,0,0,0,0,0,0,0,0,0,0
168,com.amazon.kindle,No snapshots found,0,0.0,none,0,full static,0,0,0,0,0,0,0,0,0,0,0,0,0
169,com.smule.singandroid,No snapshots found,0,0.0,none,0,full static,0,0,0,0,0,0,0,0,0,0,0,0,0
170,com.google.android.videos,No snapshots found,0,0.0,none,0,full static,0,0,0,0,0,0,0,0,0,0,0,0,0
171,com.imangi.templerun2,Exit status: 0,0:26,2.188396453857422,none,0,full static,1,1,7103,39575,12066,1,0,0,0,0,0,0,1
172,com.imangi.templerun2,Exit status: 0,0:21,2.3632736206054688,first_only,1/54,d,0,0,7103,39575,5332,0,0,1,0,0,0,0,0
173,com.imangi.templerun2,Exit status: 0,0:28,2.54827880859375,first_only,1/54,sf,1,1,7103,39575,11161,1,0,0,0,0,0,0,1
174,com.imangi.templerun2,Exit status: 0,0:22,2.3610191345214844,last_only,1/54,d,0,0,7103,39575,5327,0,0,1,0,0,0,0,0
175,com.imangi.templerun2,Exit status: 0,0:28,2.550567626953125,last_only,1/54,sf,1,1,7103,39575,11161,1,0,0,0,0,0,0,1
176,com.imangi.templerun2,Exit status: 0,0:34,4.666572570800781,activity_last,4/54,d,0,0,7103,39575,5348,0,0,1,0,0,0,0,0
177,com.imangi.templerun2,Exit status: 0,0:41,4.7231292724609375,activity_last,4/54,sf,1,1,7103,39575,11161,1,0,0,0,0,0,0,1
178,com.imangi.templerun2,Exit status: 0,1:02,5.110881805419922,activity_last,4/54,i,0,0,7103,39575,5305,0,0,1,0,0,0,0,0
179,com.imangi.templerun2,Exit status: 0,3:25,23.99725341796875,action_all,54/54,d,0,0,7103,39575,5348,0,0,1,0,0,0,0,0
180,com.imangi.templerun2,Exit status: 0,3:27,23.84014129638672,action_all,54/54,sf,1,1,7103,39575,11161,1,0,0,0,0,0,0,1
181,com.imangi.templerun2,Exit status: 0,10:12,5.149654388427734,action_all,54/54,i,0,0,7103,39575,5284,0,0,1,0,0,0,0,0
182,in.startv.hotstar,No snapshots found,0,0.0,none,0,full static,0,0,0,0,0,0,0,0,0,0,0,0,0
183,com.outfit7.talkingtom2free,No snapshots found,0,0.0,none,0,full static,0,0,0,0,0,0,0,0,0,0,0,0,0
184,com.king.farmheroessaga,No snapshots found,0,0.0,none,0,full static,0,0,0,0,0,0,0,0,0,0,0,0,0
185,com.imo.android.imoim,No snapshots found,0,0.0,none,0,full static,0,0,0,0,0,0,0,0,0,0,0,0,0
186,com.halfbrick.fruitninjafree,No snapshots found,0,0.0,none,0,full static,0,0,0,0,0,0,0,0,0,0,0,0,0
187,com.outfit7.talkingtomgoldrun,No snapshots found,0,0.0,none,0,full static,0,0,0,0,0,0,0,0,0,0,0,0,0
188,com.threed.bowling,Exit status: 0,0:30,3.5595054626464844,none,0,full static,4,4,1549,8917,4928,7,0,0,0,0,0,0,7
189,com.threed.bowling,Exit status: 0,0:20,2.38299560546875,first_only,1/21,d,4,5,1549,8916,2601,8,2,1,0,0,0,0,8
190,com.threed.bowling,Exit status: 0,0:23,2.526165008544922,first_only,1/21,sf,4,3,1549,8916,3245,6,0,1,0,0,0,0,6
191,com.threed.bowling,Exit status: 0,0:19,2.3519859313964844,last_only,1/21,d,4,4,1549,8916,2592,7,1,1,0,0,0,0,7
192,com.threed.bowling,Exit status: 0,0:23,2.5933837890625,last_only,1/21,sf,4,5,1549,8916,3245,8,2,1,0,0,0,0,8
193,com.threed.bowling,Exit status: 0,0:27,4.521984100341797,activity_last,2/21,d,4,4,1549,8916,2702,7,1,1,0,0,0,0,7
194,com.threed.bowling,Exit status: 0,0:29,4.586162567138672,activity_last,2/21,sf,4,4,1549,8916,3254,7,1,1,0,0,0,0,7
